,Acres Burned,Latitude,Longitude,Incident Start,County,Cause Type,Start Date
1479,19.0,37.329163,-121.726223,2020-06-04T07:38:05Z,Santa Clara,Wildfire,2020-06-04
1480,15.0,40.837885,-122.097933,2020-06-04T16:36:17Z,Shasta,Wildfire,2020-06-04
1481,126.0,37.229703,-121.851895,2020-06-04T19:36:47Z,Santa Clara,Wildfire,2020-06-04
1482,39.0,38.98487,-121.340239,2020-06-05T09:04:00Z,Placer,Wildfire,2020-06-05
1483,141.0,38.224849,-122.549816,2020-06-05T16:56:55Z,Sonoma,Wildfire,2020-06-05
1484,79.0,38.196893,-122.156313,2020-06-05T17:09:00Z,Solano,Wildfire,2020-06-05
1485,107.0,38.216134,-122.536406,2020-06-06T16:19:20Z,Sonoma,Wildfire,2020-06-06
1486,1837.0,38.470809,-122.038208,2020-06-06T16:36:26Z,Solano,Wildfire,2020-06-06
1487,100.0,37.994368,-122.002811,2020-06-06T18:00:51Z,Contra Costa,Wildfire,2020-06-06
1488,211.0,36.2644,-121.0781,2020-06-07T14:43:51Z,Monterey,Wildfire,2020-06-07
1489,85.0,37.61955,-120.215454,2020-06-07T19:15:00Z,Mariposa,Wildfire,2020-06-07
1490,80.0,37.463636,-121.16483,2020-06-08T13:55:53Z,Stanislaus,Wildfire,2020-06-08
1491,27.0,33.638067,-117.37581,2020-06-08T15:45:17Z,Riverside,Wildfire,2020-06-08
1492,230.0,35.94979,-120.81509,2020-06-08T16:16:07Z,Monterey,Wildfire,2020-06-08
1493,100.0,33.82925,-117.46036,2020-06-08T17:46:04Z,Riverside,Wildfire,2020-06-08
1494,20.0,33.78275,-116.89655,2020-06-08T20:50:06Z,Riverside,Wildfire,2020-06-08
1495,29.0,38.827755,-120.988571,2020-06-09T14:35:25Z,El Dorado,Wildfire,2020-06-09
1496,151.0,38.89695,-123.21318,2020-06-09T15:22:55Z,Mendocino,Wildfire,2020-06-09
1497,1100.0,33.37579,-117.47166,2020-06-09T21:51:40Z,San Diego,Wildfire,2020-06-09
1498,300.0,34.29475,-119.17808,2020-06-10T13:11:26Z,Ventura,Wildfire,2020-06-10
1499,1680.0,35.35146,-120.00521,2020-06-10T14:52:42Z,San Luis Obispo,Wildfire,2020-06-10
1500,803.0,34.46182,-118.77347,2020-06-10T18:30:38Z,Ventura,Wildfire,2020-06-10
1501,100.0,32.73044,-116.7862,2020-06-11T13:08:40Z,San Diego,Wildfire,2020-06-11
1502,90.0,32.580882,-116.690712,2020-06-11T16:57:46Z,San Diego,Wildfire,2020-06-11
1503,40.0,38.733421,-121.378879,2020-06-11T18:25:12Z,Placer,Wildfire,2020-06-11
1504,5042.0,38.520981,-121.201927,2020-06-12T12:41:17Z,Sacramento,Wildfire,2020-06-12
1505,533.0,36.82276,-119.36572,2020-06-12T17:35:38Z,Fresno,Wildfire,2020-06-12
1506,191.0,37.40827,-120.08522,2020-06-13T14:27:51Z,Mariposa,Wildfire,2020-06-13
1507,10.0,33.776033,-117.461925,2020-06-13T18:32:06Z,Riverside,Wildfire,2020-06-13
1508,696.0,34.63309,-120.28867,2020-06-14T15:03:45Z,Santa Barbara,Wildfire,2020-06-14
1509,445.0,35.17977,-120.69959,2020-06-15T16:44:39Z,San Luis Obispo,Wildfire,2020-06-15
1510,813.0,36.3011,-120.92925,2020-06-16T14:11:55Z,San Benito,Wildfire,2020-06-16
1511,18.0,35.40953,-120.56823,2020-06-16T14:44:53Z,San Luis Obispo,Wildfire,2020-06-16
1512,1455.0,38.07741,-120.72958,2020-06-16T16:58:00Z,Calaveras,Wildfire,2020-06-16
1513,95.0,39.52408,-121.60037,2020-06-17T12:54:12Z,Butte,Wildfire,2020-06-17
1514,89.0,38.23432,-121.20828,2020-06-17T15:49:46Z,San Joaquin,Wildfire,2020-06-17
1515,68.0,40.000132,-122.205628,2020-06-17T16:39:25Z,Tehama,Wildfire,2020-06-17
1516,83.0,35.9497,-121.42113,2020-06-17T16:54:46Z,Monterey,Wildfire,2020-06-17
1517,165.0,35.27678,-118.6894,2020-06-17T20:22:58Z,Kern,Wildfire,2020-06-17
1518,110.0,38.89178,-121.33956,2020-06-18T16:56:59Z,Placer,Wildfire,2020-06-18
1519,130.0,36.37085,-118.845123,2020-06-18T20:28:41Z,Tulare,Wildfire,2020-06-18
1520,13.0,39.37577,-121.45372,2020-06-18T22:33:51Z,Butte,Wildfire,2020-06-18
1521,217.0,35.89133,-118.8613,2020-06-19T15:19:44Z,Tulare,Wildfire,2020-06-19
1522,89.0,39.36894,-121.53976,2020-06-20T14:24:00Z,Butte,Wildfire,2020-06-20
1523,11.0,41.5017,-120.54161,2020-06-20T17:23:41Z,Modoc,Wildfire,2020-06-20
1524,10.0,38.08264,-120.20316,2020-06-21T11:33:36Z,Tuolumne,Wildfire,2020-06-21
1525,195.0,35.90835,-121.08753,2020-06-21T16:29:28Z,Monterey,Wildfire,2020-06-21
1526,52.0,36.69845,-121.57407,2020-06-21T21:50:06Z,Monterey,Wildfire,2020-06-21
1527,1050.0,36.5537,-119.19677,2020-06-22T08:16:27Z,Tulare,Wildfire,2020-06-22
1528,348.0,35.9789,-120.87858,2020-06-22T15:55:55Z,Monterey,Wildfire,2020-06-22
1529,15.0,35.62906,-120.68326,2020-06-22T13:55:00Z,San Luis Obispo,Wildfire,2020-06-22
1530,19.0,36.97511,-119.33439,2020-06-23T08:23:48Z,Fresno,Wildfire,2020-06-23
1531,563.0,40.43203,-120.28147,2020-06-23T21:12:11Z,Lassen,Wildfire,2020-06-23
1532,210.0,40.44793,-120.04635,2020-06-24T07:49:19Z,Lassen,Wildfire,2020-06-24
1533,12.0,33.27665,-115.96594,2020-06-24T17:49:08Z,Riverside,Wildfire,2020-06-24
1534,202.0,37.46265,-121.18355,2020-06-25T06:47:01Z,Stanislaus,Wildfire,2020-06-25
1535,263.0,35.30742,-119.88048,2020-06-25T17:28:46Z,San Luis Obispo,Wildfire,2020-06-25
1536,280.0,38.22554,-119.00289,2020-06-26T15:13:24Z,Mono,Wildfire,2020-06-26
1537,59.0,33.565093,-116.750925,2020-06-26T17:07:51Z,Riverside,Wildfire,2020-06-26
1538,2975.0,39.32596,-119.81098,2020-06-27T19:08:50Z,State of Nevada,Wildfire,2020-06-27
1539,2192.0,37.06641,-121.21912,2020-06-28T13:28:53Z,Merced,Wildfire,2020-06-28
1540,33.0,35.69993,-120.96759,2020-06-28T15:58:46Z,San Luis Obispo,Wildfire,2020-06-28
1541,12.0,41.0336731,-121.2199939,2020-06-29T12:35:41Z,Lassen,Wildfire,2020-06-29
1542,136.0,39.3784,-121.4319,2020-06-30T15:43:01Z,Butte,Wildfire,2020-06-30
